nohup: 忽略输入
✅ 检测到已有输出文件，尝试读取已处理结果：/home/cuhk/Documents/Test_lx/Find_Paper/ICRA2024_Title_标题_DOI_Abstract_摘要_关键词.csv
   已同步 0 条已处理结果到当前批次。

--- 待处理总行数: 1760 | 新任务数: 1760 ---
✔ 完成 [224/1760] | 设备: 无人小车 | 标题: Integrating Predictive Motion Uncertainties with Distributionally Robust Risk-Aw...
✔ 完成 [225/1760] | 设备: 其他 | 标题: A GP-based Robust Motion Planning Framework for Agile Autonomous Robot Navigatio...
✔ 完成 [226/1760] | 设备: 人形机器人 | 标题: Development of the Assembling System for Structure Transformable Humanoid with A...
✔ 完成 [227/1760] | 设备: 机器狗 | 标题: HyperLeg: Biomechanics-Inspired High-DOF Leg and Toe Mechanism for Highly Dynami...
✔ 完成 [230/1760] | 设备: 其他 | 标题: OSCaR: An Origami-Inspired Shape-Changing Robot for Ground Coverage Tasks....
✔ 完成 [228/1760] | 设备: 其他 | 标题: Design of a Towing System by Multi Autonomous Sailboats....
✔ 完成 [229/1760] | 设备: 无人小车 | 标题: Non-Intrusive LiDAR Protection Module Emulating Bio-Inspired Wiping Motion for O...
✔ 完成 [231/1760] | 设备: 其他 | 标题: Robust MITL planning under uncertain navigation times....
✔ 完成 [233/1760] | 设备: 其他 | 标题: Active Inference for Reactive Temporal Logic Motion Planning....
✔ 完成 [232/1760] | 设备: 其他 | 标题: Stochastic Games for Interactive Manipulation Domains....
✔ 完成 [236/1760] | 设备: 机械臂 | 标题: Verifiable Learned Behaviors via Motion Primitive Composition: Applications to S...
✔ 完成 [234/1760] | 设备: 机器狗 | 标题: Skill Transfer for Temporal Task Specification....
✔ 完成 [235/1760] | 设备: 机械臂 | 标题: High Precision Paint Deposition Modeling Considering Variable Posture of Spray P...
✔ 完成 [237/1760] | 设备: 其他 | 标题: Knowledge acquisition plans: Generation, combination, and execution....
✔ 完成 [238/1760] | 设备: 其他 | 标题: Assessing Reputation to Improve Team Performance in Heterogeneous Multi-Robot Co...
✔ 完成 [244/1760] | 设备: 无人机 | 标题: Optimal Containment Control of Multiple Quadrotors via Reinforcement Learning....
✔ 完成 [240/1760] | 设备: 其他 | 标题: Simultaneous Time Synchronization and Mutual Localization for Multi-robot System...
✔ 完成 [246/1760] | 设备: 其他 | 标题: Direct 3D model-based object tracking with event camera by motion interpolation....
✔ 完成 [245/1760] | 设备: 机械臂 | 标题: Ensemble Latent Space Roadmap for Improved Robustness in Visual Action Planning....
✔ 完成 [239/1760] | 设备: 无人机 | 标题: Learning Decentralized Flocking Controllers with Spatio-Temporal Graph Neural Ne...
✔ 完成 [242/1760] | 设备: 无人机/无人小车 | 标题: AG-Cvg: Coverage Planning with a Mobile Recharging UGV and an Energy-Constrained...
✔ 完成 [243/1760] | 设备: 其他 | 标题: A non-cubic space-filling modular robot....
✔ 完成 [241/1760] | 设备: 无人机 | 标题: Enabling Large-scale Heterogeneous Collaboration with Opportunistic Communicatio...
✔ 完成 [249/1760] | 设备: 其他 | 标题: Multi-Object Tracking by Hierarchical Visual Representations....
✔ 完成 [247/1760] | 设备: 其他 | 标题: Using Specularities to Boost Non-Rigid Structure-from-Motion....
✔ 完成 [252/1760] | 设备: 其他 | 标题: nvblox: GPU-Accelerated Incremental Signed Distance Field Mapping....
✔ 完成 [248/1760] | 设备: 其他 | 标题: Tracking Snake-Like Robots in the Wild Using Only a Single Camera....
✔ 完成 [253/1760] | 设备: 其他 | 标题: Multi-Resolution Planar Region Extraction for Uneven Terrains....
✔ 完成 [256/1760] | 设备: 其他 | 标题: Leveraging Cycle-Consistent Anchor Points for Self-Supervised RGB-D Registration...
✔ 完成 [250/1760] | 设备: 其他 | 标题: AgriSORT: A Simple Online Real-time Tracking-by-Detection framework for robotics...
✔ 完成 [255/1760] | 设备: 其他 | 标题: Stereo-LiDAR Depth Estimation with Deformable Propagation and Learned Disparity-...
✔ 完成 [254/1760] | 设备: 其他 | 标题: RIC: Rotate-Inpaint-Complete for Generalizable Scene Reconstruction....
✔ 完成 [251/1760] | 设备: 其他 | 标题: Stereo-NEC: Enhancing Stereo Visual-Inertial SLAM Initialization with Normal Epi...
✔ 完成 [257/1760] | 设备: 无人机 | 标题: MMAUD: A Comprehensive Multi-Modal Anti-UAV Dataset for Modern Miniature Drone T...
✔ 完成 [258/1760] | 设备: 其他 | 标题: Mean Shift Mask Transformer for Unseen Object Instance Segmentation....
✔ 完成 [262/1760] | 设备: 其他 | 标题: DerainNeRF: 3D Scene Estimation with Adhesive Waterdrop Removal....
✔ 完成 [264/1760] | 设备: 机械臂 | 标题: DINOBot: Robot Manipulation via Retrieval and Alignment with Vision Foundation M...
✔ 完成 [261/1760] | 设备: 其他 | 标题: Hierarchical Human-to-Robot Imitation Learning for Long-Horizon Tasks via Cross-...
✔ 完成 [259/1760] | 设备: 其他 | 标题: SLCF-Net: Sequential LiDAR-Camera Fusion for Semantic Scene Completion using a 3...
✔ 完成 [263/1760] | 设备: 其他 | 标题: Policy Optimization by Looking Ahead for Model-based Offline Reinforcement Learn...
✔ 完成 [260/1760] | 设备: 其他 | 标题: Overparametrization helps offline-to-online generalization of closed-loop contro...
✔ 完成 [266/1760] | 设备: 其他 | 标题: A Generalized Acquisition Function for Preference-based Reward Learning....
✔ 完成 [265/1760] | 设备: 机械臂 | 标题: Rank2Reward: Learning Shaped Reward Functions from Passive Video....
✔ 完成 [268/1760] | 设备: 其他 | 标题: Reinforcement Learning in a Safety-Embedded MDP with Trajectory Optimization....
✔ 完成 [269/1760] | 设备: 其他 | 标题: Distributional Reinforcement Learning with Sample-set Bellman Update....
✔ 完成 [267/1760] | 设备: 机械臂 | 标题: Offline Goal-Conditioned Reinforcement Learning for Safety-Critical Tasks with R...
✔ 完成 [274/1760] | 设备: 机械臂 | 标题: Projected Task-Specific Layers for Multi-Task Reinforcement Learning....
✔ 完成 [271/1760] | 设备: 机器狗/无人机 | 标题: Contrastive Initial State Buffer for Reinforcement Learning....
✔ 完成 [270/1760] | 设备: 其他 | 标题: Learning Adaptive Safety for Multi-Agent Systems....
✔ 完成 [272/1760] | 设备: 其他 | 标题: Safety Optimized Reinforcement Learning via Multi-Objective Policy Optimization....
✔ 完成 [273/1760] | 设备: 其他 | 标题: Differentially Encoded Observation Spaces for Perceptive Reinforcement Learning....
✔ 完成 [275/1760] | 设备: 其他 | 标题: Bi2Lane: Bi-Directional Temporal Refinement with Bi-Level Feature Aggregation fo...
✔ 完成 [276/1760] | 设备: 其他 | 标题: Exploitation-Guided Exploration for Semantic Embodied Navigation....
✔ 完成 [277/1760] | 设备: 无人小车 | 标题: Teach and Repeat Navigation: A Robust Control Approach....
✔ 完成 [279/1760] | 设备: 其他 | 标题: Robot Navigation in Unseen Environments using Coarse Maps....
✔ 完成 [278/1760] | 设备: 无人小车 | 标题: Uncertainty-aware hybrid paradigm of nonlinear MPC and model-based RL for offroa...
✔ 完成 [282/1760] | 设备: 机械臂 | 标题: Design and Analysis of Soft Hybrid-Driven Manipulator with Variable Stiffness an...
✔ 完成 [283/1760] | 设备: 其他 | 标题: Directly 3D Printed, Pneumatically Actuated Multi-Material Robotic Hand....
✔ 完成 [281/1760] | 设备: 其他 | 标题: RAPIDFlow: Recurrent Adaptable Pyramids with Iterative Decoding for Efficient Op...
✔ 完成 [284/1760] | 设备: 其他 | 标题: Soft Hand Extension Glove with Thumb Abduction and Extension Assistance....
✔ 完成 [280/1760] | 设备: 其他 | 标题: Bicode: A Hybrid Blinking Marker System for Event Cameras....
✔ 完成 [285/1760] | 设备: 其他 | 标题: Design and Characterization of a Soft Flat Tube Twisting Actuator....
✔ 完成 [287/1760] | 设备: 机械臂 | 标题: A Modular, Tendon Driven Variable Stiffness Manipulator with Internal Routing fo...
✔ 完成 [286/1760] | 设备: 其他 | 标题: High-Curvature, High-Force, Vine Robot for Inspection....
✔ 完成 [288/1760] | 设备: 其他 | 标题: EgoPAT3Dv2: Predicting 3D Action Target from 2D Egocentric Vision for Human-Robo...
✔ 完成 [292/1760] | 设备: 机械臂 | 标题: High-Degrees-of-Freedom Dynamic Neural Fields for Robot Self-Modeling and Motion...
✔ 完成 [290/1760] | 设备: 其他 | 标题: STNet: Spatio-Temporal Fusion-Based SelfAttention for Slip Detection in Visuo-Ta...
✔ 完成 [291/1760] | 设备: 其他 | 标题: Commonsense Spatial Knowledge-aware 3-D Human Motion and Object Interaction Pred...
✔ 完成 [294/1760] | 设备: 其他 | 标题: Multi-Object RANSAC: Efficient Plane Clustering Method in a Clutter....
✔ 完成 [289/1760] | 设备: 其他 | 标题: Distribution-Aware Continual Test-Time Adaptation for Semantic Segmentation....
✔ 完成 [293/1760] | 设备: 其他 | 标题: Language-Conditioned Affordance-Pose Detection in 3D Point Clouds....
✔ 完成 [296/1760] | 设备: 机械臂 | 标题: Symmetric Models for Visual Force Policy Learning....
✔ 完成 [295/1760] | 设备: 机械臂 | 标题: Utilizing Inpainting for Training Keypoint Detection Algorithms Towards Markerle...
✔ 完成 [297/1760] | 设备: 其他 | 标题: Out of Sight, Still in Mind: Reasoning and Planning about Unobserved Objects wit...
✔ 完成 [298/1760] | 设备: 机械臂 | 标题: Learning Fabric Manipulation in the Real World with Human Videos....
✔ 完成 [303/1760] | 设备: 其他 | 标题: Transformer-Based Prediction of Human Motions and Contact Forces for Physical Hu...
✔ 完成 [302/1760] | 设备: 机械臂 | 标题: Decomposing the Generalization Gap in Imitation Learning for Visual Robotic Mani...
✔ 完成 [300/1760] | 设备: 机械臂 | 标题: Dual-Critic Deep Reinforcement Learning for Push-Grasping Synergy in Cluttered E...
✔ 完成 [301/1760] | 设备: 其他 | 标题: DefGoalNet: Contextual Goal Learning from Demonstrations for Deformable Object M...
✔ 完成 [299/1760] | 设备: 机械臂 | 标题: HAGrasp: Hybrid Action Grasp Control in Cluttered Scenes using Deep Reinforcemen...
✔ 完成 [304/1760] | 设备: 机械臂 | 标题: SynH2R: Synthesizing Hand-Object Motions for Learning Human-to-Robot Handovers....
✔ 完成 [306/1760] | 设备: 其他 | 标题: Exploring Transformers and Visual Transformers for Force Prediction in Human-Rob...
✔ 完成 [305/1760] | 设备: 机械臂 | 标题: Proactive Robot Control for Collaborative Manipulation Using Human Intent....
✔ 完成 [310/1760] | 设备: 其他 | 标题: Design of a Front-enveloping Powered Exoskeleton Considering Optimal Distributio...
✔ 完成 [307/1760] | 设备: 其他 | 标题: Exploring the Effect of Base Compliance on Physical Human-Robot Collaboration....
✔ 完成 [311/1760] | 设备: 其他 | 标题: Real-Time Locomotion Transitions Detection: Maximizing Performances with Minimal...
✔ 完成 [309/1760] | 设备: 其他 | 标题: Ankle Exoskeleton with a Symmetric 3 DoF Structure for Plantarflexion Assistance...
✔ 完成 [308/1760] | 设备: 其他 | 标题: A Personalizable Controller for the Walking Assistive omNi-Directional Exo-Robot...
✔ 完成 [312/1760] | 设备: 其他 | 标题: ExoRecovery: Push Recovery with a Lower-Limb Exoskeleton Based on Stepping Strat...
✔ 完成 [314/1760] | 设备: 其他 | 标题: Task-space Control of a Powered Ankle Prosthesis....
✔ 完成 [313/1760] | 设备: 其他 | 标题: Pilot comparison of customized and generalized hip-knee-ankle exoskeleton torque...
✔ 完成 [315/1760] | 设备: 其他 | 标题: Towards Unified Interactive Visual Grounding in The Wild....
✔ 完成 [316/1760] | 设备: 其他 | 标题: Think, Act, and Ask: Open-World Interactive Personalized Robot Navigation....
✔ 完成 [319/1760] | 设备: 其他 | 标题: Assisting Group Discussions Using Desktop Robot Haru....
✔ 完成 [317/1760] | 设备: 机械臂 | 标题: PROGrasp: Pragmatic Human-Robot Communication for Object Grasping....
✔ 完成 [318/1760] | 设备: 其他 | 标题: Enhancing Tactile Sensing in Robotics: Dual-Modal Force and Shape Perception wit...
✔ 完成 [321/1760] | 设备: 其他 | 标题: Advancing Virtual Reality Interaction: A Ring-Shaped Controller and Pose Trackin...
✔ 完成 [320/1760] | 设备: 其他 | 标题: Assessment and Benchmarking of XoNLI: a Natural Language Processing Interface fo...
✔ 完成 [322/1760] | 设备: 其他 | 标题: Tactile Embeddings for Multi-Task Learning....
✔ 完成 [324/1760] | 设备: 其他 | 标题: AcTExplore: Active Tactile Exploration on Unknown Objects....
✔ 完成 [326/1760] | 设备: 机器狗 | 标题: Learning Emergent Gaits with Decentralized Phase Oscillators: on the role of Obs...
✔ 完成 [323/1760] | 设备: 其他 | 标题: An Investigation of Multi-feature Extraction and Super-resolution with Fast Micr...
✔ 完成 [325/1760] | 设备: 其他 | 标题: Terrestrial Locomotion of PogoX: From Hardware Design to Energy Shaping and Step...
✔ 完成 [328/1760] | 设备: 机器狗 | 标题: Introducing the Carpal-Claw: a Mechanism to Enhance High-Obstacle Negotiation fo...
✔ 完成 [329/1760] | 设备: 其他 | 标题: SpaceHopper: A Small-Scale Legged Robot for Exploring Low-Gravity Celestial Bodi...
✔ 完成 [327/1760] | 设备: 机器狗 | 标题: Optimizing Dynamic Balance in a Rat Robot via the Lateral Flexion of a Soft Actu...
✔ 完成 [331/1760] | 设备: 机器狗 | 标题: Safety-Critical Coordination of Legged Robots via Layered Controllers and Forwar...
✔ 完成 [332/1760] | 设备: 机器狗 | 标题: Safety-critical Control of Quadrupedal Robots with Rolling Arms for Autonomous I...
✔ 完成 [334/1760] | 设备: 其他 | 标题: Phase Synthesis for Spatial Locomotion Control of Retractable Worm Robots....
✔ 完成 [330/1760] | 设备: 机器狗 | 标题: ManyQuadrupeds: Learning a Single Locomotion Policy for Diverse Quadruped Robots...
✔ 完成 [333/1760] | 设备: 机械臂 | 标题: Robust and Remote Center of Cyclic Motion Control for Redundant Robots with Part...
✔ 完成 [335/1760] | 设备: 机械臂 | 标题: Enhanced Robust Motion Control based on Unknown System Dynamics Estimator for Ro...
✔ 完成 [336/1760] | 设备: 其他 | 标题: Model-Free Control of a Class of High-Precision Scanning Motion Systems with Pie...
✔ 完成 [337/1760] | 设备: 其他 | 标题: Constrained Nonlinear Disturbance Observer for Robotic Systems....
✔ 完成 [339/1760] | 设备: 其他 | 标题: Robotic Craniomaxillofacial Osteotomy System Using Acoustic 3D Registration....
✔ 完成 [338/1760] | 设备: 机械臂 | 标题: An Integrated Position-velocity-force Method for Safety-enhanced Shared Control ...
✔ 完成 [340/1760] | 设备: 机械臂 | 标题: Elliptical torus-based Six-axis FBG Force Sensor with In-situ Calibration for Co...
✔ 完成 [344/1760] | 设备: 其他 | 标题: Intelligent Disinfection Robot with High-Touch Surface Detection and Dynamic Ped...
✔ 完成 [341/1760] | 设备: 机械臂 | 标题: A Hybrid Admittance Control Algorithm for Automatic Robotic Cranium-Milling....
✔ 完成 [346/1760] | 设备: 其他 | 标题: Hyblock: Hardware Realization and Control of Modular Hydraulic Robots with Dowel...
✔ 完成 [343/1760] | 设备: 机械臂 | 标题: Haptic-Assisted Collaborative Robot Framework for Improved Situational Awareness...
✔ 完成 [345/1760] | 设备: 机械臂 | 标题: Toward a framework integrating augmented reality and virtual fixtures for safer ...
✔ 完成 [342/1760] | 设备: 其他 | 标题: Preliminary Study of Fingertip and Wrist Motion Based Haptic Controller for Robo...
✔ 完成 [347/1760] | 设备: 其他 | 标题: Self-Reconfigurable Robots for Collaborative Discrete Lattice Assembly....
✔ 完成 [349/1760] | 设备: 其他 | 标题: Scalable underwater assembly with reconfigurable visual fiducials....
✔ 完成 [348/1760] | 设备: 机器狗 | 标题: LiSTA: Geometric Object-Based Change Detection in Cluttered Environments....
✔ 完成 [350/1760] | 设备: 其他 | 标题: Automatic Loading of Unknown Material with a Wheel Loader Using Reinforcement Le...
✔ 完成 [353/1760] | 设备: 其他 | 标题: Real-Time Estimation for the Swimming Direction of Robotic Fish Based on IMU Sen...
